Whass...up!	Whassup.
oh...	Oh, you get kicked.
There you go.	(takes out bag) 40. Always.
Oh, no, I didn't know.	Where's the bug?
Like I'm on the beach.	Seagull.
Yeah.	Everything's a joke.
I know.	Check your hair!
Alright.	Yeah. Cover me!
Yes.	Good! Okay. Flirt away.
Oh...	Have you seen Erin?
About ten minutes.	Jeez! What's he doing in there?
I'm not wearing eyeliner.	You are wearing eyeliner, Jim.
He doesn't even care.	Don't even care!
Yes.	That's two things.
What? What, what, what, what, what?	Oh, god! You... oh! My appendix-
I'm sorry.	My wound hasn't healed yet.
You all right? You ok?	Rrrah!
What are you doing?	I was trying to go-
Get up.	Ok, ok.
Nope. I think that was it.	Once again, it's show time.
Yeah.	Right here.
Absolutely not. Seven percent.	Six percent, I know my worth.
No.	Yes.
No.	Yes.
No.	Yes.
No.	Yes.
I'll do it.	Yep.
Bye guys.	Okay, okay.
Nellie, don't open, stupid. Love, Nellie.	I have to see these shoes.
Like a boyfriend?	You read my mind.
Oh, okay.	Okay?
Okay.	Washington Monument.
Oh.	Eiffel Tower.
Oh, gosh.	Oh, please.
Yeah, hello?	I don't need your help.
What?	Good, we have a deal?
He's running!	Damn it!
Is that him?	It's him! Do something! Get out!
Are you sure?	Yes.
You all right?	Yeah. Oh.
Dwight, what are you doing?	Go, go! Take the stairs! Now!
What are you talking about?	Just run! Take the stairs!
What's going on?	Well –
Pleasure.	He's searching out younger gays.
May I say one thing?	You okay, Robert?
Wait, C-R-A-Z...	Great, right up there.
Great.	Up here.
Oh, so that's it?	That's it.
What are you doing?	Come here, I'll show you.
Exactly the way it is.	No, Pam.
That's really nice.	Oh god.
OK.	Yes.
Thank you.	You're the stupid one.
Yes, thank you.	You're the stupid one.
Dwight, you will be participating.	No thank you.
Looking for this?	What the?
Yeah! Let's do it!	Atherozar!
Foth aggendi!	He/she/it throat rips.
Addor!	Daraas!
Andy Bernard presents	I'm barren, Jim.
A baby what? A human?!	Everybody! Hang on!
Oof. Infertility.	Yeah right.
What?	Some of these kernels have crowned.
What?	Bring it in!
No!	Stop ordering me around, Jim!
Okay.	Jim. Look I'm eating you.
Something wrong Dwight?	Dumatril.
Hey.	Hey.
Get her out.	Oh.
Yeah, Oscar's in big trouble.	OK, how is my voice now?
Are you insulting my guests?	nan
Hello?	David, is that you?
Dwight?	Walk out of the house...
Jim Halpert.	The White Pages.
Oh, I'll be the buyer.	nan
Mm-hmm. Good. Baby steps.	He used to fight dogs.
Oh my God. It's Jan.	Oh, dear God in heaven.
Stop that.	Okay.
No, thank you, Angela.	No.
Oscar.	Come on in, the water's fine.
Yeah!	Text went through.
Okay.	You're not stupid. Jazz is stupid.
People red vine.	Get in the van.
Is it safe to talk?	What?
Oh, you tell me.	Wow!
What about a knee-capping?	No! You're not helping, Trevor!
He's here.	No! No, no!
What?	Come -- come with me.
I got it.	Disarm!
Party planning cimmittee, emgergency meeting. Now.	I found it!
And that is...	Uh, Oh.
What is it? Don't touch it.	Somebody's found the hog maw.
And the fear.	Yes, exactly!
Ooh.	Remember?
That's enough, I'm done! Okay? Agh!	Impish!
Okay.	Let's talk pubes, people.
Okay Pop...	Wait, so you're the boss?
Hey.	Aha! A lightbulb.
Yep.	Let's just forget it. Forget it.
nan	You're welcome.
Loyalty is exactly right.	Thank you.
And your milkshake.	Thank you.
I feel awful.	Okay.
nan	Mm-hmm.
nan	I chose my words very carefully.
No, no and no.	There were only two options.
So I'd Kobayashi Maru it.	Damn it! Perfect answer, again.
You know what, Dwight?	And anoth—
That's right.	You know we live together, right?
Yes, okay. Bye.	I'd love to invest.
I am.	Okay. Good, good, good.
I'm sorry?	What? This is such bullcrap!
See, I feel bad about that.	It's all right. It's all right.
We should just take him down.	Wait. Are you saying...
Yes!	Go all Hammurabi on this clown.
What lines?	Go move some paper!
Aw, Dwight. That's really sweet.	Let's see yours.
Hi Dwight.	You're back. And you're disgusting.
I was...	On a boat.
Say it.	Not a word.
Hmm.	Coolio.
Yeah.	Coolio.
What?!	Yeah.
I'm Kevin.	Aunt Shirley, Hello! It's me Dwight.
Oh.	OK
Hmm.	Would you like the stink sack?
Not Night at the Roxbury.	Let's get to it.
I don't know.	Give me the hose!
Oh, thank god.	Excuse me?
OK.	You know?
'Hi' to Mom.	Are you going?
Get...	What are you doing here?
Who is that?	Jeb, my brother.
Dwight.	I see Esther's back in town.
That doesn't work on me.	OK.
Very funny. OK. Oui, oui, oui.	Oui.
We're gonna get him.	Esther Ruger.
Um.	No!
Yes.	Ah, the Ruger family. Welcome.
Standard.	Right, standard.
Dude, we're being conned.	Go on.
nan	It's all right. Andy approved it.
All right.	Move it! One, two, three.
Nice.	What about you?
Uh, I don't know yet.	Let's take him—
I know. Evel Knievel.	nan
That's actually really smart.	Thank you.
nan	Hoist his shank on three.
All right.	Got it?
What?	Get in the back.
Aw, come on.	Get in.
That they do.	And for—oh, whoopsie daisy.
Oh man.	I call for a refold!
Nice.	Whoo!
Come on Clark.	Whoa!
Whoo!	Oh, Esther.
Hey.	What are you- You're here early.
Nice morning, too.	Dwight Schrute is manager!
Is everything ok?	Get out of Jim's seat.
Angela, you still have your son.	Assistant regional manager.
All right. I get it.	You okay?
Well, hello.	Big day for you.
Big day for you.	Thank you.
Will you be the new manager?	Where?
Where?	What branch?
I feel scared a little.	Ah, much, ok.
Here we go.	Break protocol! Break protocol! Break protocol!
Don't tell me what to do!	Welcome.
No, I know.	What is going on?
Casey Dean!	Damn straight.
Okay.	Hey, hey! Seriously?
I'm not touching you. Okay?	The power source.
Absolutely.	Not even close, Meredith. Come on!
Come on.	Very well.
Yep. Take care.	Some sort of virus?
Hey.	Oh.
Thank you.	A thousand times more.
Hey! No way!	Pull over!
Guess I'm going upstairs.	Shut up, woman!
It's too loud.	Me.
Yes! Thank you.	I love you!
Hey.	What? Why would you say that—
pff, Nobody buys DVDs anymore.	Waste of a good hatchet.
Get out.	I missed you Kevin.
What does that mean?	Ohh.
Oscar. Oscar. I think I'm gay.	Based...on his merit.
Yeah, people hate you.	What was that for?
Hmm.	Oh, no. What?
Not... significant is a big word...	I thought you guys couldn't come.
Jim.	Uh, better ask Jim.
And Jim will say nothing.	Michael. I can't believe you came.
Oh, my gosh, it's choreographed!	Woo! Okay!
nan	Amazing.
Hi, boys!	Good evening.
Hey, bottom drawer.	Good old Mose.
Hi.	Right. Which one is that?
